100|razdel|Природа|
101|Рыбки|||0|0||||||100|0|
102|Птички|||0|0||||||100|0|
103|Животные|||0|0||||||100|0|
104|Цветы|||0|0||||||100|0|
105|Небо||1051001|0|0||||||100|0|
106|Разное||1061061000|0|0||||||100|0|
107|razdel|Машины|
108|Легковые авто|||0|0||||||100|0|
109|Грузовые авто|||0|0||||||100|0|
110|Мототранспорт|||0|0||||||100|0|
111|Велотранспорт|||0|0||||||100|0|
112|Водный транспорт|||0|0||||||100|0|
113|Автожизнь|||0|0||||||100|0|
114|Разное|||0|0||||||100|0|
115|razdel|Наука|
116|Изобретения|||0|0||||||100|0|
118|Оборудование|||0|0||||||100|0|
